contract_id,payer_id,cpt_category,reimbursement_pct_of_charge,effective_date,end_date,status
CON0044,PAY004,Pulmonology,0.918,2024-01-01,2025-12-31,Active
CON0045,PAY004,Radiology,0.866,2024-01-01,2025-12-31,Active
CON0046,PAY004,Lab,0.83,2024-01-01,2025-12-31,Active
CON0047,PAY004,Neurology,0.87,2024-01-01,2025-12-31,Active
CON0048,PAY004,Preventive,0.824,2024-01-01,2025-12-31,Active
CON0049,PAY004,Cardiology,0.856,2024-01-01,2025-12-31,Active
CON0050,PAY004,Surgery,0.807,2024-01-01,2025-12-31,Active
CON0051,PAY004,OB/GYN,0.855,2024-01-01,2025-12-31,Active
CON0052,PAY004,E&M,0.88,2024-01-01,2025-12-31,Active
CON0053,PAY005,Rehab,1.073,2024-01-01,2025-12-31,Active
CON0054,PAY005,Orthopedics,0.888,2024-01-01,2025-12-31,Active
CON0055,PAY005,Behavioral,1.087,2024-01-01,2025-12-31,Active
CON0056,PAY005,Oncology,1.031,2024-01-01,2025-12-31,Active
CON0057,PAY005,Pulmonology,1.026,2024-01-01,2025-12-31,Active
CON0058,PAY005,Radiology,1.052,2024-01-01,2025-12-31,Active
CON0059,PAY005,Lab,1.027,2024-01-01,2025-12-31,Active
CON0060,PAY005,Neurology,1.15,2024-01-01,2025-12-31,Active
CON0061,PAY005,Preventive,1.146,2024-01-01,2025-12-31,Active
CON0062,PAY005,Cardiology,1.174,2024-01-01,2025-12-31,Active
CON0063,PAY005,Surgery,0.964,2024-01-01,2025-12-31,Active
CON0064,PAY005,OB/GYN,1.13,2024-01-01,2025-12-31,Active
CON0065,PAY005,E&M,1.025,2024-01-01,2025-12-31,Active
CON0066,PAY006,Rehab,0.946,2024-01-01,2025-12-31,Active
CON0067,PAY006,Orthopedics,1.011,2024-01-01,2025-12-31,Active
CON0068,PAY006,Behavioral,1.1,2024-01-01,2025-12-31,Active
CON0069,PAY006,Oncology,0.986,2024-01-01,2025-12-31,Active
CON0070,PAY006,Pulmonology,1.114,2024-01-01,2025-12-31,Active
CON0071,PAY006,Radiology,1.131,2024-01-01,2025-12-31,Active
CON0072,PAY006,Lab,0.902,2024-01-01,2025-12-31,Active
CON0073,PAY006,Neurology,0.882,2024-01-01,2025-12-31,Active
CON0074,PAY006,Preventive,0.888,2024-01-01,2025-12-31,Active
CON0075,PAY006,Cardiology,1.177,2024-01-01,2025-12-31,Active
CON0076,PAY006,Surgery,1.025,2024-01-01,2025-12-31,Active
CON0077,PAY006,OB/GYN,0.989,2024-01-01,2025-12-31,Active
CON0078,PAY006,E&M,1.068,2024-01-01,2025-12-31,Active
CON0079,PAY007,Rehab,0.911,2024-01-01,2025-12-31,Active
CON0080,PAY007,Orthopedics,0.9,2024-01-01,2025-12-31,Active
CON0081,PAY007,Behavioral,0.864,2024-01-01,2025-12-31,Active
CON0082,PAY007,Oncology,0.853,2024-01-01,2025-12-31,Active
CON0083,PAY007,Pulmonology,0.812,2024-01-01,2025-12-31,Active
CON0084,PAY007,Radiology,0.878,2024-01-01,2025-12-31,Active
CON0085,PAY007,Lab,0.913,2024-01-01,2025-12-31,Active
CON0086,PAY007,Neurology,0.861,2024-01-01,2025-12-31,Active
CON0087,PAY007,Preventive,0.859,2024-01-01,2025-12-31,Active
CON0088,PAY007,Cardiology,0.906,2024-01-01,2025-12-31,Active
CON0089,PAY007,Surgery,0.891,2024-01-01,2025-12-31,Active
CON0090,PAY007,OB/GYN,0.883,2024-01-01,2025-12-31,Active
CON0091,PAY007,E&M,0.858,2024-01-01,2025-12-31,Active
CON0092,PAY008,Rehab,0.997,2024-01-01,2025-12-31,Active
CON0093,PAY008,Orthopedics,1.065,2024-01-01,2025-12-31,Active
CON0094,PAY008,Behavioral,0.961,2024-01-01,2025-12-31,Active
CON0095,PAY008,Oncology,0.961,2024-01-01,2025-12-31,Active
CON0096,PAY008,Pulmonology,1.126,2024-01-01,2025-12-31,Active
CON0097,PAY008,Radiology,1.063,2024-01-01,2025-12-31,Active
CON0098,PAY008,Lab,1.063,2024-01-01,2025-12-31,Active
CON0099,PAY008,Neurology,0.874,2024-01-01,2025-12-31,Active
CON0100,PAY008,Preventive,1.179,2024-01-01,2025-12-31,Active
CON0101,PAY008,Cardiology,1.091,2024-01-01,2025-12-31,Active
CON0102,PAY008,Surgery,0.898,2024-01-01,2025-12-31,Active
CON0103,PAY008,OB/GYN,0.987,2024-01-01,2025-12-31,Active
CON0104,PAY008,E&M,1.162,2024-01-01,2025-12-31,Active
CON0105,PAY009,Rehab,0.652,2024-01-01,2025-12-31,Active
CON0106,PAY009,Orthopedics,0.604,2024-01-01,2025-12-31,Active
CON0107,PAY009,Behavioral,0.587,2024-01-01,2025-12-31,Active
CON0108,PAY009,Oncology,0.631,2024-01-01,2025-12-31,Active
CON0109,PAY009,Pulmonology,0.627,2024-01-01,2025-12-31,Active
CON0110,PAY009,Radiology,0.694,2024-01-01,2025-12-31,Active
CON0111,PAY009,Lab,0.658,2024-01-01,2025-12-31,Active
CON0112,PAY009,Neurology,0.562,2024-01-01,2025-12-31,Active
CON0113,PAY009,Preventive,0.606,2024-01-01,2025-12-31,Active
CON0114,PAY009,Cardiology,0.659,2024-01-01,2025-12-31,Active
CON0115,PAY009,Surgery,0.586,2024-01-01,2025-12-31,Active
CON0116,PAY009,OB/GYN,0.624,2024-01-01,2025-12-31,Active
CON0117,PAY009,E&M,0.628,2024-01-01,2025-12-31,Active
CON0118,PAY011,Rehab,0.786,2024-01-01,2025-12-31,Active
CON0119,PAY011,Orthopedics,0.857,2024-01-01,2025-12-31,Active
CON0120,PAY011,Behavioral,0.806,2024-01-01,2025-12-31,Active
CON0121,PAY011,Oncology,0.864,2024-01-01,2025-12-31,Active
CON0122,PAY011,Pulmonology,0.885,2024-01-01,2025-12-31,Active
CON0123,PAY011,Radiology,0.71,2024-01-01,2025-12-31,Active
CON0124,PAY011,Lab,0.834,2024-01-01,2025-12-31,Active
CON0125,PAY011,Neurology,0.847,2024-01-01,2025-12-31,Active
CON0126,PAY011,Preventive,0.702,2024-01-01,2025-12-31,Active
CON0127,PAY011,Cardiology,0.744,2024-01-01,2025-12-31,Active
CON0128,PAY011,Surgery,0.701,2024-01-01,2025-12-31,Active
CON0129,PAY011,OB/GYN,0.809,2024-01-01,2025-12-31,Active
CON0130,PAY011,E&M,0.781,2024-01-01,2025-12-31,Active
CON0131,PAY012,Rehab,0.801,2024-01-01,2025-12-31,Active
CON0132,PAY012,Orthopedics,0.816,2024-01-01,2025-12-31,Active
CON0133,PAY012,Behavioral,0.707,2024-01-01,2025-12-31,Active
CON0134,PAY012,Oncology,0.742,2024-01-01,2025-12-31,Active
CON0135,PAY012,Pulmonology,0.701,2024-01-01,2025-12-31,Active
CON0136,PAY012,Radiology,0.855,2024-01-01,2025-12-31,Active
CON0137,PAY012,Lab,0.812,2024-01-01,2025-12-31,Active
CON0138,PAY012,Neurology,0.82,2024-01-01,2025-12-31,Active
CON0139,PAY012,Preventive,0.72,2024-01-01,2025-12-31,Active
CON0140,PAY012,Cardiology,0.86,2024-01-01,2025-12-31,Active
CON0141,PAY012,Surgery,0.89,2024-01-01,2025-12-31,Active
CON0142,PAY012,OB/GYN,0.739,2024-01-01,2025-12-31,Active
CON0143,PAY012,E&M,0.887,2024-01-01,2025-12-31,Active
